0	30	57
0	18	31
0	55	23
0	20	27
0	55	61
0	55	0
1	9	29
1	47	32
1	57	43
1	20	21
1	20	44
1	17	2
1	19	33
1	31	10
2	0	15
2	29	15
2	47	22
2	37	4
3	40	57
3	14	46
3	40	27
4	24	58
5	56	50
5	54	20
5	6	44
5	17	45
6	54	15
6	56	45
6	25	29
6	22	18
6	17	2
6	41	59
7	36	3
7	30	2
7	54	12
7	52	2
7	28	58
8	33	32
8	36	35
8	14	17
8	18	26
8	18	53
8	59	48
9	13	30
9	54	58
9	56	44
9	13	37
9	13	23
9	27	18
9	48	46
10	15	31
10	52	31
10	15	48
10	0	33
10	50	60
11	29	44
12	21	25
13	60	28
13	9	46
13	25	53
13	48	15
13	9	21
13	17	59
13	48	4
13	39	45
14	45	9
14	10	13
14	42	41
14	61	11
14	3	39
14	40	35
14	47	13
14	50	6
14	20	27
14	7	56
14	21	30
14	20	5
15	14	25
15	42	11
15	45	56
15	55	2
15	18	43
15	7	25
15	29	27
16	21	25
16	14	19
16	58	17
16	52	60
16	61	55
16	18	49
17	57	14
17	31	59
17	25	0
17	56	29
17	25	60
17	22	12
17	41	50
17	48	55
17	48	34
18	36	17
18	23	13
18	37	34
18	29	32
18	36	19
18	36	49
18	20	27
19	40	16
19	1	34
19	28	10
19	28	50
20	38	46
20	40	49
20	33	11
20	21	56
20	40	19
20	8	5
20	3	26
20	34	9
20	2	48
21	11	47
21	45	28
21	50	9
21	8	60
21	52	2
21	43	7
22	6	60
23	50	56
23	8	34
23	36	28
24	0	49
24	51	9
24	35	19
24	4	56
24	21	25
24	15	1
25	7	3
25	6	3
25	6	24
26	25	61
26	28	47
26	54	52
27	36	15
27	54	15
27	41	20
27	30	18
27	25	35
28	10	2
28	7	28
28	27	61
28	30	55
28	16	56
29	24	27
29	0	3
29	35	7
29	10	16
29	8	32
29	33	1
29	8	31
29	51	5
29	20	31
30	50	45
30	2	26
30	19	25
30	40	9
30	0	9
31	9	45
32	13	44
32	6	34
32	60	11
33	43	5
33	42	2
33	34	54
33	51	13
33	61	26
33	24	2
33	3	22
33	44	13
33	18	47
33	20	55
34	37	5
34	43	29
34	33	57
34	24	31
34	50	31
35	52	14
36	44	12
36	18	32
36	44	30
36	7	53
36	23	9
36	18	22
36	38	25
37	24	5
37	44	35
37	44	10
37	38	25
37	24	35
37	3	6
37	38	19
37	8	27
37	23	37
37	36	5
37	8	35
38	40	30
38	0	60
38	18	61
38	58	22
38	33	45
38	50	5
38	50	4
38	47	42
39	48	35
39	9	0
40	20	35
40	45	51
40	37	60
40	42	53
40	42	13
40	3	40
40	52	25
40	33	17
41	7	4
41	6	30
41	27	40
41	7	22
41	54	40
42	2	26
42	29	1
42	7	58
42	2	9
42	16	22
42	28	46
43	36	1
43	33	43
43	34	23
43	8	27
43	24	5
43	18	31
43	52	9
44	28	59
44	10	48
44	36	3
44	43	15
45	40	30
45	4	19
45	29	30
45	0	46
45	59	13
45	20	2
45	61	12
45	15	12
45	59	56
45	40	27
45	50	56
46	29	30
46	37	9
47	38	45
47	38	5
47	19	51
47	29	17
47	44	13
47	50	57
48	17	27
49	44	31
49	46	2
50	29	19
50	34	7
50	30	46
50	29	27
50	8	25
50	10	5
50	2	6
51	10	12
51	4	22
51	20	27
51	15	2
51	18	2
51	42	48
51	29	48
51	36	47
51	4	44
51	59	22
52	58	61
52	3	25
52	29	41
52	14	30
53	37	48
53	14	9
54	6	42
54	39	47
54	5	52
54	48	35
54	1	34
54	56	24
54	56	33
55	29	52
55	59	30
56	54	19
56	54	61
57	6	37
57	6	51
57	17	21
57	56	2
57	5	51
57	32	40
57	5	43
57	9	34
57	17	2
58	43	3
59	3	42
59	0	33
59	21	33
59	15	35
59	39	57
60	32	18
61	2	47
61	21	4
61	36	4
